id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)"
ID-2024-04-22T08:51:30Z_0027,NGFS,2024-04-22 01:56,"Nevada County, CA",NEU,STATE,Nevada,4.0,"39.25094358952183, -121.05714236422659",,,
56e1264d-b4ea-4d25-8829-26b9ba2da9de,IRWIN,2024-04-22 04:06,"LNU, LANCE IC Lake",LNU,STATE,Lake,2.0,"39.0047470362747, -122.508315378449",,,
1814761324,PulsePoint,2024-04-22 08:06,"LAC, E AVENUE K-8 & N 15TH ST E, LANCASTER",LAC,LOCAL,Los Angeles,1.0,"34.66782, -118.10344999999998",Urban,Rawaf,"Also, nothing on cameras/desert."
54ec0799-9bee-4fe7-995f-90582dfab3d7,IRWIN,2024-04-22 08:27,"CRD, 4th Ave IC Imperial",,FEDERAL,Imperial,6.0,"32.7296148908612, -114.625073450403",Agriculture / farm,Rawaf,"Also urban, late: ""FireDiscoveryDateTime: 2024-04-22 06:07 PDT"""
ID-2024-04-22T16:51:30Z_0033,NGFS,2024-04-22 09:57,"Calaveras County, CA",TCU,STATE,Calaveras,4.0,"38.19523941144637, -120.79227402539902",Nothing on radio,Rawaf,"Looks quite green, previous satellite detections in the same area."
ID-2024-04-22T17:21:30Z_0008,NGFS,2024-04-22 10:26,"El Dorado County, CA",AEU,STATE,El Dorado,4.0,"38.6420200604126, -120.52763956542731",Nothing on radio,Rawaf,Previous satellite detections in the same area.
ID-2024-04-22T18:11:30Z_0007,NGFS,2024-04-22 11:16,"Glenn County, CA",ART,LOCAL,Glenn,3.0,"39.6065660380144, -122.18982962453919",Agriculture / farm,Rawaf,
1814930007,PulsePoint,2024-04-22 11:42,"LAC, 15501 E ARROW HWY, IRWINDALE",LAC,LOCAL,Los Angeles,1.0,"34.10707000006331, -117.94276500000001",,,
1814930007,PulsePoint,2024-04-22 11:42,"LAC, 15501 E ARROW HWY, IRWINDALE",LAC,LOCAL,Los Angeles,1.0,"34.10707000006331, -117.94276500000001",,,
1814930007,PulsePoint,2024-04-22 11:42,"LAC, 15501 E ARROW HWY, IRWINDALE",LAC,LOCAL,Los Angeles,1.0,"34.10707000006331, -117.94276500000001",,,
1814930007,PulsePoint,2024-04-22 11:42,"LAC, 15501 E ARROW HWY, IRWINDALE",LAC,LOCAL,Los Angeles,1.0,"34.10707000006331, -117.94276500000001",,,
ID-2024-04-22T18:56:30Z_0009,NGFS,2024-04-22 12:01,"Butte County, CA",,LOCAL,Glenn,3.0,"39.51987367123428, -121.92978879782049",Agriculture / farm,Rawaf,
ID-2024-04-22T18:56:30Z_0010,NGFS,2024-04-22 12:01,"El Dorado County, CA",ENF,FEDERAL,El Dorado,4.0,"38.896607410583094, -120.77070557523965",Prescribed fire,Rawaf,
ID-2024-04-22T20:16:30Z_0012,NGFS,2024-04-22 13:21,"Yolo County, CA",LNU,STATE,Yolo,4.0,"38.92325990051248, -122.06723838622324",Agriculture / farm,Rawaf,
ID-2024-04-22T20:21:30Z_0014,NGFS,2024-04-22 13:26,"Yolo County, CA",,LOCAL,Solano,2.0,"38.529368040705926, -121.91137251218494",Agriculture / farm,Rawaf,"Previous satellite detections, and recognized burn area over the past month. Winters cameras still down."
g18-2024-04-22T20:34:25+00:00,GOES,2024-04-22 13:34,"Partially Cloudy/Smoke, Riverside County, 32 MW",RVC,LOCAL,Riverside,6.0,"33.7799, -116.206",,,
24ac4826-bbd4-4f6b-9b8e-2eca21aa6058,IRWIN,2024-04-22 13:45,"SRF, Craigs Access IC Del Norte",SRF,FEDERAL,Del Norte,2.0,"41.791640107324, -124.027953001859",Other - Enter reason,Rawaf,"Old: ""FireDiscoveryDateTime: 2024-04-21 13:57 PDT"""
g18-2024-04-22T21:27:25+00:00,GOES,2024-04-22 14:27,"Processed, Kern County, 31 MW",KRN,LOCAL,Kern,5.0,"35.517, -119.3644",,,
ID-2024-04-22T21:51:30Z_0012,NGFS,2024-04-22 14:57,"Yolo County, CA",MDS,LOCAL,Yolo,4.0,"38.635774490432034, -121.89780801131296",Agriculture / farm,Rawaf,
e9b6ac16-63c9-49a6-bdb3-4f84289be188,IRWIN,2024-04-22 15:13,"LNU, RIVER RD  CLOVERDALE IC Sonoma",LNU,STATE,Sonoma,2.0,"38.764817982237, -122.964282415704",,,
259e4c58-2958-4845-a25b-eff0083dfada,IRWIN,2024-04-22 16:09,"TGU, HIGHWAY IC Tehama",TGU,STATE,Tehama,3.0,"39.9022191482925, -121.98070241747",,,
963dd676-4027-42d1-8504-fc4949388666,IRWIN,2024-04-22 16:10,"SDU, ALVA IC San Diego",SDU,STATE,San Diego,6.0,"33.0363938011047, -117.117789916783",,,
ID-2024-04-22T23:06:30Z_0012,NGFS,2024-04-22 16:11,"Siskiyou County, CA",TUL,LOCAL,Siskiyou,3.0,"41.95607098975618, -121.48535310129859",,,
{67928B48-2574-4292-A7D2-BFB57FA3B845},Intterra FIRIS,2024-04-22 16:39,jlblock_firis jlblock_firis,FKU,STATE,Kings,5.0,"35.82555861618601, -120.05555726947806",,,
{67928B48-2574-4292-A7D2-BFB57FA3B845},Intterra FIRIS,2024-04-22 16:39,york demo york demo jlblock_firis jlblock_firis,FKU,STATE,Kings,5.0,"35.82555861618601, -120.05555726947806",,,
a9a68125-b12e-4ac3-a68c-d912c10d76f5,IRWIN,2024-04-22 17:17,"EMD, VISTA IC Butte",EMD,LOCAL,Butte,3.0,"39.4767061497698, -121.542897292755",,,
c3a9cf2a-77e6-49d5-bad0-4882e0640b7a,IRWIN,2024-04-22 17:49,"MEU, OAT GAP RD  VAN_ARSDALE IC Mendocino",MEU,STATE,Mendocino,2.0,"39.3828230193809, -123.089872514005",,,
45879437-47b7-4abb-8153-06b25875b31c,IRWIN,2024-04-22 18:01,"HUU, SCENIC DR  WESTHAVEN IC Humboldt",HUU,STATE,Humboldt,2.0,"41.0301860505978, -124.109548895184",,,
g16-2024-04-23T01:26:17+00:00,GOES,2024-04-22 18:26,"Processed, San Benito County, 50 MW",BEU,STATE,San Benito,2.0,"36.3221, -120.8501",,,
ID-2024-04-23T03:11:30Z_0019,NGFS,2024-04-22 20:22,"Siskiyou County, CA",BNP,FEDERAL,Siskiyou,3.0,"41.81091272280897, -121.49634326501908",,,
de8d6645-8c2f-4a4b-b93b-ae83ff7a346b,IRWIN,2024-04-22 20:56,"HUU, RED IC Humboldt",HUU,STATE,Humboldt,2.0,"40.4461240209904, -123.997493792846",,,
729b880d-f66e-4069-8b3e-7ed396d107c4,IRWIN,2024-04-22 21:30,"MDA, S C ST  MADERA_CITY IC Madera",MDA,LOCAL,Madera,5.0,"36.9582560400155, -120.052198757183",,,
ID-2024-04-23T06:36:30Z_0011,NGFS,2024-04-22 23:41,"Kern County, CA",KRN,LOCAL,Kern,5.0,"35.63970824337108, -119.9779465702717",,,
ID-2024-04-23T06:51:30Z_0011,NGFS,2024-04-22 23:56,"Mono County, CA",CND,FEDERAL,Mono,6.0,"37.79684213492516, -118.53532226107646",,,
2a174ade-b5e0-49d7-a9f2-ed494068080b,IRWIN,2024-04-23 00:00,"BDU, HWY 189   BLUE_JAY IC San Bernardino",BDU,STATE,San Bernardino,6.0,"34.2435049359815, -117.213714027589",,,
06a7d751-9cd7-425d-89d3-1fb9c4553b30,IRWIN,2024-04-23 04:38,"RVC, HY 74  E/ JUNIPER FLATS RD IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7432748839949, -117.115028970144",,,
ID-2024-04-23T16:31:30Z_0015,NGFS,2024-04-23 09:36,"Riverside County, CA",RVC,LOCAL,Riverside,6.0,"33.46277208040558, -116.12111266033499",Dirt / desert,Sierra,
ID-2024-04-23T17:46:30Z_0010,NGFS,2024-04-23 10:51,"FREYS RX 4-23, Modoc County, CA",LKR,FEDERAL,Modoc,3.0,"41.85113745317291, -121.41497724714189",Prescribed fire,Rawaf,
ID-2024-04-23T18:16:30Z_0015,NGFS,2024-04-23 11:21,"Butte County, CA",BUT,LOCAL,Butte,3.0,"39.54671804949787, -121.93573610883867",Agriculture / farm,Rawaf,
ID-2024-04-23T18:31:30Z_0028,NGFS,2024-04-23 11:38,"Colusa County, CA",WIL,LOCAL,Colusa,3.0,"39.15190642089093, -122.27764716883212",Agriculture / farm,Rawaf,
ID-2024-04-23T18:41:30Z_0017,NGFS,2024-04-23 11:46,"Glenn County, CA",HAM,LOCAL,Glenn,3.0,"39.719107400732696, -122.05869992792513",Agriculture / farm,Rawaf,
ID-2024-04-23T19:16:30Z_0021,NGFS,2024-04-23 12:21,"Siskiyou County, CA",LKR,FEDERAL,Siskiyou,3.0,"41.927682653584334, -121.48010078491733",Agriculture / farm,Rawaf,"Also, Rx nearby."
57fde1fc-d8b6-4f5f-901d-5cf7ab720989,IRWIN,2024-04-23 12:33,"CND, SPRINGS IC Mono",CND,FEDERAL,Mono,6.0,"37.8020552278801, -118.52926259953",Dirt / desert,Rawaf,
ID-2024-04-23T19:36:30Z_0046,NGFS,2024-04-23 12:44,"Yolo County, CA",WPL,LOCAL,Yolo,4.0,"38.5969316039646, -121.89770883341207",Agriculture / farm,Rawaf,
ID-2024-04-23T19:46:30Z_0039,NGFS,2024-04-23 12:52,"Fresno County, CA",SNF,FEDERAL,Fresno,5.0,"37.14910272584285, -119.34319560659527",Prescribed fire,Rawaf,
524793c6-8b67-48b8-94d0-e7a6e34438f5,IRWIN,2024-04-23 13:26,"LNU, PLEASANTS VALLEY RD  VACAVILLE IC Solano",LNU,STATE,Solano,2.0,"38.4813050311235, -122.030057240747",Prescribed fire,Rawaf,
ID-2024-04-23T21:01:30Z_0042,NGFS,2024-04-23 14:06,"Yolo County, CA",LNU,STATE,Yolo,4.0,"38.91673886229477, -122.06242964717836",Agriculture / farm,Rawaf,
ID-2024-04-23T22:41:30Z_0044,NGFS,2024-04-23 15:49,"Trinity County, CA",SHF,FEDERAL,Trinity,3.0,"40.94535123993709, -122.759721217872",,Rawaf,
g16-2024-04-23T22:51:17+00:00,GOES,2024-04-23 15:51,"Processed, Imperial County, 386 MW",,LOCAL,Imperial,6.0,"32.7409, -115.7028",Solar farm,Rawaf,"Also, ag."
2b27a3b7-943b-4138-a6cc-7418145ca675,IRWIN,2024-04-23 17:31,"RVC, GRAPEFRUIT BL / 4TH ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.5709879200583, -116.07953477524",Nothing on cameras,Erin,
ID-2024-04-23T23:16:30Z_0076,NGFS,2024-04-23 19:22,"Riverside County, CA",CDD,FEDERAL,Riverside,6.0,"33.80835227153518, -115.39447451020314","Other non-veg (e.g., vehicle, trash, etc)",Erin,solar
ID-2024-04-23T22:51:30Z_0093,NGFS,2024-04-23 19:22,"Imperial County, CA",,LOCAL,Imperial,6.0,"32.746898334702145, -115.69874984547188","Other non-veg (e.g., vehicle, trash, etc)",Erin,solar
99dba4f6-4ea7-4790-ac9b-ca128a215204,IRWIN,2024-04-23 19:40,"LNF, COBLE SPRING IC Lassen",LNF,FEDERAL,Lassen,3.0,"40.9041722810068, -121.316713456786",Other - Enter reason,Erin,old alert. over an hour
ID-2024-04-24T03:36:30Z_0025,NGFS,2024-04-23 20:41,"Trinity County, CA",SRF,FEDERAL,Trinity,3.0,"40.1092251044505, -123.40294990380814",Nothing on cameras,Erin,
9e0e3935-6620-4159-9999-67cfcd261dd3,IRWIN,2024-04-23 22:00,"RVC, VAN BUREN IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9671658902036, -117.466643048525",,,
1816331031,PulsePoint,2024-04-23 22:07,"LAC, 29340 THE OLD RD, CASTAIC",LAC,STATE,Los Angeles,1.0,"34.45113500005383, -118.61488499978658",,,
ad816e68-b4ca-4321-a966-5bc82911bae8,IRWIN,2024-04-23 22:13,"HIA, Tish Tang IC Humboldt",HIA,FEDERAL,Humboldt,2.0,"41.0544494897277, -123.676402736385",,,
acd20710-2060-4bfe-9948-bde7b4d68f13,IRWIN,2024-04-23 23:15,"MRD, VOLTA IC Merced",MRD,LOCAL,Merced,5.0,"37.042081987241, -120.926940904862",,,
d8191bfb-f4bf-4e0a-a972-9b4274f8b593,IRWIN,2024-04-24 05:30,"RVC, 86 IC Riverside",RVC,LOCAL,Riverside,6.0,"33.5693519191677, -116.092371777394",,,
174a2186-330c-4e9d-a690-8b0edbdaf17a,IRWIN,2024-04-24 07:34,"HIA, SHOEMAKER IC Humboldt",HIA,FEDERAL,Humboldt,2.0,"41.0525050903894, -123.667236054759","Other non-veg (e.g., vehicle, trash, etc)",Sierra,old alert 
ce82706e-aebe-4495-93f2-f9e8b23130c8,IRWIN,2024-04-24 10:36,"TMU, VAN SICKLE IC El Dorado",TMU,FEDERAL,El Dorado,4.0,"38.9527552305401, -119.93921297055",Urban,Sierra,
ID-2024-04-24T18:16:30Z_0017,NGFS,2024-04-24 11:21,"Yolo County, CA",LNU,STATE,Yolo,4.0,"38.92325990051248, -122.06723838622324",Agriculture / farm,Rawaf,
